"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Source","Declaration","Ctrl+G","In C/C++ Views"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"File","Save All","Shift+Ctrl+S","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Source","Toggle Comment","Ctrl+7","C/C++ Editor"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Source","Toggle Comment","Ctrl+/","SystemTap Editor"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"File","Save","Ctrl+S","In Windows"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"UML2 Sequence Diagram Viewer Commands","Show node end","Shift+Alt+End","UML2 Sequence Diagram Viewer"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Terminal view commands","Copy","Shift+Ctrl+C","Terminal Control in Focus"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Changelog","Format ChangeLog","Esc Ctrl+F","ChangeLog Editor"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Navigate","Open Declaration","F3","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Makefile Source","Toggle Comment","Ctrl+/","Makefile Editor"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"File","Close","Ctrl+W","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Step Into","F5","Debugging"
"Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Source","Show outline","Ctrl+O","C/C++ Editor"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"File","New menu","Shift+Alt+N","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"UML2 Sequence Diagram Viewer Commands","Scroll down","Shift+Alt+Down","UML2 Sequence Diagram Viewer"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Source","Correct Indentation","Ctrl+I","SystemTap Editor"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Source","Open Declaration","F3","In Macro Expansion Hover"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Edit","Toggle Word Wrap","Shift+Alt+Y","Editing Text"
"File","Refresh","F5","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Window","Next Editor","Ctrl+Tab","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Text Editing","Line End","End","Editing Text"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Navigate","Previous","Ctrl+,","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Source","Forward","Alt+Right","In Macro Expansion Hover"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Window","Activate Editor","F12","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Editor Commands","Organize Patches","Shift+Ctrl+O","Specfile Editor Context"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Refactor - C++","Rename - Refactoring ","Ctrl+A Ctrl+R","C/C++ Editor"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"UML2 Sequence Diagram Viewer Commands","Show node start ","Shift+Alt+Home","UML2 Sequence Diagram Viewer"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Window","Quick Access","Ctrl+3","In Windows"
"Source","Toggle Comment","Ctrl+/","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Search","Show Occurrences in File Quick Menu","Ctrl+Alt+U","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Changelog","Prepare Commit","Ctrl+Alt+V","Editing Text"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Navigate","Next Page","Alt+F7","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Source","Declaration","Ctrl+G","C/C++ Editor"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus"
"Edit","Find Next","Ctrl+K","Editing Text"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"File","Rename","F2","In Windows"
"Views","Show View ()","Shift+Alt+Q T","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"File","New","Ctrl+N","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Editor Commands","Show Outline","Ctrl+O","Specfile Editor Context"
"Source","References","Shift+Ctrl+G","C/C++ Editor"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"UML2 Sequence Diagram Viewer Commands","Scroll left","Shift+Alt+Left","UML2 Sequence Diagram Viewer"
"UML2 Sequence Diagram Viewer Commands","Go to associated message","Alt+R","UML2 Sequence Diagram Viewer"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Project","Build Target Build","Shift+F9","In Windows"
"Source","Open Declaration","F3","C/C++ Editor"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Editing Text"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Editor Commands","Download Sources","Shift+Ctrl+R D","Specfile Editor Context"
"Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Terminal view commands","Paste","Shift+Ctrl+V","Terminal Control in Focus"
"Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Editor Commands","Toggle Comment","Shift+Ctrl+C","Specfile Editor Context"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Changelog","Prepare Changelog","Ctrl+Alt+P","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Comparing in an Editor"
"Project","Rebuild Last Target","F9","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Line Start","Home","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"UML2 Sequence Diagram Viewer Commands","Scroll right","Shift+Alt+Right","UML2 Sequence Diagram Viewer"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Source","Indent Line","Ctrl+I","C/C++ Editor"
"Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Editor Commands","Prepare Sources","Shift+Ctrl+R P","Specfile Editor Context"
"Source","References","Shift+Ctrl+G","In C/C++ Views"
"Edit","Delete","Delete","In Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Run/Debug","Step Return","F7","Debugging"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Window","Next View","Ctrl+F7","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Navigate","Backward History","Ctrl+O","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Source","Show Tooltip Description","F2","Autoconf Editor"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Comparing in an Editor"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"File","Properties","Alt+Enter","In Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Window","Toggle Full Screen","Alt+F11","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Run/Debug","Debug","F11","In Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Window","Show System Menu","Alt+-","In Windows"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Editing Text"
"Source","Back","Ctrl+O","In Macro Expansion Hover"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Invoke Autotools","Show Outline","Ctrl+O","Autoconf Editor"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"UML2 Sequence Diagram Viewer Commands","Scroll up","Shift+Alt+Up","UML2 Sequence Diagram Viewer"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
